title,year,directors,rank_change
The Shawshank Redemption,1994,['Frank Darabont'],no change
The Godfather,1972,['Francis Ford Coppola'],no change
The Dark Knight,2008,['Christopher Nolan'],no change
The Godfather Part II,1974,['Francis Ford Coppola'],no change
12 Angry Men,1957,['Sidney Lumet'],no change
The Lord of the Rings: The Return of the King,2003,['Peter Jackson'],no change
Schindler's List,1993,['Steven Spielberg'],no change
Pulp Fiction,1994,['Quentin Tarantino'],no change
The Lord of the Rings: The Fellowship of the Ring,2001,['Peter Jackson'],no change
"The Good, the Bad and the Ugly",1966,['Sergio Leone'],no change
Forrest Gump,1994,['Robert Zemeckis'],no change
The Lord of the Rings: The Two Towers,2002,['Peter Jackson'],no change
Fight Club,1999,['David Fincher'],no change
Inception,2010,['Christopher Nolan'],no change
Star Wars: Episode V - The Empire Strikes Back,1980,['Irvin Kershner'],no change
The Matrix,1999,"['Lana Wachowski', 'Lilly Wachowski']",no change
Goodfellas,1990,['Martin Scorsese'],no change
One Flew Over the Cuckoo's Nest,1975,['Milos Forman'],no change
Interstellar,2014,['Christopher Nolan'],no change
Se7en,1995,['David Fincher'],no change
It's a Wonderful Life,1946,['Frank Capra'],no change
Seven Samurai,1954,['Akira Kurosawa'],no change
The Silence of the Lambs,1991,['Jonathan Demme'],no change
Saving Private Ryan,1998,['Steven Spielberg'],no change
City of God,2002,"['Fernando Meirelles', 'Kátia Lund']",no change
The Green Mile,1999,['Frank Darabont'],no change
Life Is Beautiful,1997,['Roberto Benigni'],no change
Terminator 2: Judgment Day,1991,['James Cameron'],no change
Star Wars: Episode IV - A New Hope,1977,['George Lucas'],no change
Back to the Future,1985,['Robert Zemeckis'],no change
Spirited Away,2001,['Hayao Miyazaki'],no change
The Pianist,2002,['Roman Polanski'],no change
Parasite,2019,['Bong Joon Ho'],no change
Gladiator,2000,['Ridley Scott'],no change
Psycho,1960,['Alfred Hitchcock'],no change
The Lion King,1994,"['Roger Allers', 'Rob Minkoff']",no change
The Departed,2006,['Martin Scorsese'],no change
Grave of the Fireflies,1988,['Isao Takahata'],no change
Whiplash,2014,['Damien Chazelle'],no change
Spider-Man: Across the Spider-Verse,2023,"['Joaquim Dos Santos', 'Kemp Powers', 'Justin K. Thompson']",no change
American History X,1998,['Tony Kaye'],no change
The Prestige,2006,['Christopher Nolan'],no change
Léon: The Professional,1994,['Luc Besson'],no change
Harakiri,1962,['Masaki Kobayashi'],no change
Casablanca,1942,['Michael Curtiz'],no change
The Usual Suspects,1995,['Bryan Singer'],no change
The Intouchables,2011,"['Olivier Nakache', 'Éric Toledano']",no change
Cinema Paradiso,1988,['Giuseppe Tornatore'],no change
Dune: Part Two,2024,['Denis Villeneuve'],no change
Modern Times,1936,['Charles Chaplin'],no change
Alien,1979,['Ridley Scott'],no change
Rear Window,1954,['Alfred Hitchcock'],no change
Once Upon a Time in the West,1968,['Sergio Leone'],no change
Django Unchained,2012,['Quentin Tarantino'],no change
City Lights,1931,['Charles Chaplin'],no change
